Time (UTC)	Intensity
2025-06-11 03:26:05.000363525+00:00	1.638190e+11
2025-06-11 03:26:08.000363525+00:00	1.638327e+11
2025-06-11 03:26:10.000363525+00:00	1.638146e+11
2025-06-11 03:26:13.000363525+00:00	1.638264e+11
2025-06-11 03:26:17.000363525+00:00	1.638294e+11
2025-06-11 03:26:35.000363525+00:00	1.637843e+11
2025-06-11 03:26:42.000363525+00:00	1.637788e+11
2025-06-11 03:26:58.000363525+00:00	1.637643e+11
2025-06-11 03:27:04.000363525+00:00	1.637612e+11
2025-06-11 03:27:08.000363525+00:00	1.637425e+11
2025-06-11 03:27:17.000363525+00:00	1.637406e+11
2025-06-11 03:27:19.000363525+00:00	1.637445e+11
2025-06-11 03:27:20.000363525+00:00	1.637392e+11
2025-06-11 03:27:27.000363525+00:00	1.637373e+11
2025-06-11 03:27:28.000363525+00:00	1.637412e+11
2025-06-11 03:27:29.000363525+00:00	1.637436e+11
2025-06-11 03:27:30.000363525+00:00	1.637443e+11
2025-06-11 03:27:38.000363525+00:00	1.637416e+11
2025-06-11 03:27:43.000363525+00:00	1.637657e+11
2025-06-11 03:27:46.000363525+00:00	1.637727e+11
2025-06-11 03:27:47.000363525+00:00	1.637674e+11
2025-06-11 03:27:59.000363525+00:00	1.637595e+11
2025-06-11 03:28:03.000363525+00:00	1.637538e+11
2025-06-11 03:28:07.000363525+00:00	1.637548e+11
2025-06-11 03:28:08.000363525+00:00	1.637626e+11
2025-06-11 03:28:12.000363525+00:00	1.637693e+11
2025-06-11 03:28:15.000363525+00:00	1.637660e+11
2025-06-11 03:28:16.000363525+00:00	1.637718e+11
2025-06-11 03:28:18.000363525+00:00	1.637565e+11
2025-06-11 03:28:19.000363525+00:00	1.637491e+11
2025-06-11 03:28:21.000363525+00:00	1.637507e+11
2025-06-11 03:28:22.000363525+00:00	1.637532e+11
2025-06-11 03:28:25.000363525+00:00	1.637600e+11
2025-06-11 03:28:26.000363525+00:00	1.637387e+11
2025-06-11 03:28:29.000363525+00:00	1.637521e+11
2025-06-11 03:28:31.000363525+00:00	1.637489e+11
2025-06-11 03:28:33.000363525+00:00	1.637290e+11
2025-06-11 03:28:36.000363525+00:00	1.637554e+11
2025-06-11 03:28:39.000363525+00:00	1.637364e+11
2025-06-11 03:28:47.000363525+00:00	1.637523e+11
2025-06-11 03:28:49.000363525+00:00	1.637255e+11
2025-06-11 03:28:54.000363525+00:00	1.637362e+11
2025-06-11 03:28:59.000363525+00:00	1.637341e+11
2025-06-11 03:29:10.000363525+00:00	1.637308e+11
2025-06-11 03:29:11.000363525+00:00	1.637407e+11
2025-06-11 03:29:13.000363525+00:00	1.637329e+11
2025-06-11 03:29:18.000363525+00:00	1.637283e+11
2025-06-11 03:29:28.000363525+00:00	1.637211e+11
2025-06-11 03:29:33.000363525+00:00	1.637130e+11
2025-06-11 03:29:47.000363525+00:00	1.637109e+11
2025-06-11 03:29:51.000363525+00:00	1.637105e+11
2025-06-11 03:29:52.000363525+00:00	1.636982e+11
2025-06-11 03:29:54.000363525+00:00	1.636973e+11
2025-06-11 03:29:55.000363525+00:00	1.637144e+11
2025-06-11 03:29:58.000363525+00:00	1.637031e+11
2025-06-11 03:30:00.000363525+00:00	1.637079e+11
2025-06-11 03:30:04.000363525+00:00	1.637133e+11
2025-06-11 03:30:06.000363525+00:00	1.637005e+11
2025-06-11 03:30:09.000363525+00:00	1.637028e+11
2025-06-11 03:30:10.000363525+00:00	1.636915e+11
2025-06-11 03:30:13.000363525+00:00	1.636973e+11
2025-06-11 03:30:14.000363525+00:00	1.637026e+11
2025-06-11 03:30:16.000363525+00:00	1.636915e+11
2025-06-11 03:30:19.000363525+00:00	1.636410e+11
2025-06-11 03:30:22.000363525+00:00	1.636223e+11
2025-06-11 03:30:27.000363525+00:00	1.636135e+11
2025-06-11 03:30:28.000363525+00:00	1.636135e+11
2025-06-11 03:30:45.000363525+00:00	1.636170e+11
2025-06-11 03:30:46.000363525+00:00	1.636042e+11
2025-06-11 03:30:47.000363525+00:00	1.636058e+11
2025-06-11 03:30:50.000363525+00:00	1.636118e+11
2025-06-11 03:30:51.000363525+00:00	1.636033e+11
2025-06-11 03:30:53.000363525+00:00	1.635917e+11
2025-06-11 03:31:00.000363525+00:00	1.635934e+11
2025-06-11 03:31:07.000363525+00:00	1.636001e+11
2025-06-11 03:31:09.000363525+00:00	1.635917e+11
2025-06-11 03:31:10.000363525+00:00	1.635891e+11
2025-06-11 03:31:15.000363525+00:00	1.635875e+11
2025-06-11 03:31:19.000363525+00:00	1.635825e+11
2025-06-11 03:31:20.000363525+00:00	1.635811e+11
2025-06-11 03:31:42.000363525+00:00	1.635815e+11
2025-06-11 03:31:51.000363525+00:00	1.635959e+11
